"reporting_year_identifier","year_of_high_school_graduation","date_tested","science_scale_score","student_id","num_visits_bin","which_grade_are_you_currently_in","grade_level"
18,2021,2018-10-01,20,108066234,0,"12","12"
18,2019,2018-10-01,21,108042196,1,"6","6"
18,2023,2019-04-01,17,108059775,1,"10","10"
18,2023,2019-04-01,24,108026279,1,"10","10"
18,2023,2019-04-01,25,108022595,1,"10","10"
18,2021,2019-04-01,19,108007116,1,"12","12"
18,2021,2019-04-01,18,108003288,1,"12","12"
18,2021,2019-04-01,20,108004831,1,"12","12"
19,2021,2019-10-01,14,108101121,1,"12","12"
19,2021,2019-10-01,19,108071972,0,"12","12"
19,2021,2020-02-01,23,108020517,1,"12","12"
19,2021,2020-02-01,34,108049936,1,"12","12"
19,2021,2019-10-01,10,108069494,1,"12","12"
19,2021,2019-12-01,16,108022600,1,"12","12"
19,2021,2020-02-01,19,108004791,1,"12","12"
19,2021,2019-10-01,17,108040639,1,"12","12"
19,2021,2020-02-01,19,108040640,1,"12","12"
19,2021,2019-10-01,25,108008626,1,"12","12"
19,2021,2019-10-01,17,108041177,1,"12","12"
19,2021,2019-12-01,27,108004806,1,"12","12"
19,2021,2020-02-01,23,108062221,1,"12","12"
19,2021,2019-12-01,23,108008630,1,"12","12"
19,2021,2019-10-01,18,108043988,1,"12","12"
19,2022,2020-02-01,20,108029250,1,"11","11"
19,2022,2020-02-01,14,108102437,0,"11","11"
19,2021,2020-02-01,22,108045752,0,"12","12"
19,2021,2019-10-01,23,108042608,0,"12","12"
19,2021,2019-10-01,24,108042594,1,"12","12"
19,2021,2019-10-01,29,108042541,1,"12","12"
19,2022,2020-02-01,19,108024235,1,"11","11"
19,2021,2019-10-01,20,108042538,0,"12","12"
19,2021,2019-10-01,29,108046766,1,"12","12"
19,2022,2019-10-01,31,108027643,1,"11","11"
19,2021,2019-10-01,22,108051002,0,"12","12"
20,2021,2020-10-01,23,108042555,0,"12","12"
20,2021,2020-10-01,28,108042564,0,"12","12"
20,2021,2020-10-01,21,108045592,1,"12","12"
20,2021,2020-10-01,16,108046355,1,"12","12"
20,2022,2020-10-01,24,108049054,1,"11","11"
20,2022,2020-10-01,21,108051692,1,"11","11"
20,2021,2020-10-01,19,108045521,1,"12","12"
20,2021,2020-10-01,23,108045527,1,"12","12"
20,2021,2020-10-01,18,108045570,1,"12","12"
20,2021,2020-10-01,28,108045557,1,"12","12"
20,2021,2020-10-01,21,108045563,1,"12","12"
20,2021,2020-10-01,18,108045600,1,"12","12"
20,2021,2020-10-01,13,108045584,1,"12","12"
20,2021,2020-10-01,19,108045536,1,"12","12"
20,2021,2020-10-01,18,108045577,1,"12","12"
20,2021,2020-10-01,19,108072956,1,"12","12"
20,2021,2020-10-01,11,108045555,1,"12","12"
20,2021,2020-10-01,8,108049137,1,"12","12"
20,2021,2020-10-01,12,108047377,1,"12","12"
20,2021,2020-10-01,22,108045610,1,"12","12"
20,2021,2020-10-01,19,108045587,1,"12","12"
20,2021,2020-10-01,17,108045543,1,"12","12"
20,2021,2020-10-01,12,108045602,1,"12","12"
20,2021,2020-10-01,18,108060492,1,"12","12"
20,2021,2020-10-01,17,108047830,1,"12","12"
20,2021,2020-10-01,12,108045607,1,"12","12"
20,2021,2020-10-01,24,108045074,1,"12","12"
20,2021,2020-10-01,12,108047400,1,"12","12"
20,2021,2020-10-01,13,108045506,1,"12","12"
20,2021,2020-10-01,11,108023365,1,"12","12"
20,2021,2020-10-01,29,108045508,1,"12","12"
20,2021,2020-10-01,21,108046704,1,"12","12"
20,2022,2020-10-01,25,108081852,0,"11","11"
20,2022,2020-10-01,16,108083957,0,"11","11"
20,2021,2020-10-01,30,108042602,0,"12","12"
20,2021,2020-10-01,25,108042572,0,"12","12"
20,2021,2020-10-01,21,108042545,0,"12","12"
20,2021,2020-10-01,26,108023072,0,"12","12"
20,2021,2020-10-01,36,108042554,1,"12","12"
20,2021,2020-10-01,16,108055238,0,"12","12"
20,2021,2020-10-01,19,108042612,0,"12","12"
20,2021,2020-10-01,20,108042587,0,"12","12"
20,2021,2020-10-01,20,108045544,1,"12","12"
20,2021,2020-10-01,12,108071360,1,"12","12"
20,2022,2020-10-01,17,108080651,0,"11","11"
20,2022,2020-10-01,22,108026598,1,"11","11"
20,2022,2020-10-01,20,108024241,1,"11","11"
20,2022,2020-10-01,28,108029254,0,"11","11"
20,2021,2020-10-01,19,108045540,1,"12","12"
20,2021,2020-10-01,19,108045522,1,"12","12"
20,2022,2020-10-01,14,108100455,0,"11","11"
20,2022,2020-10-01,18,108050150,0,"11","11"
20,2021,2020-10-01,13,108046709,0,"12","12"
20,2022,2020-10-01,21,108008470,1,"11","11"
20,2021,2020-10-01,23,108045509,1,"12","12"
20,2021,2020-10-01,17,108045593,1,"12","12"
20,2022,2020-10-01,26,108024222,1,"11","11"
20,2021,2020-10-01,21,108067863,0,"12","12"
20,2022,2020-10-01,16,108024248,1,"11","11"
20,2022,2020-10-01,31,108027657,1,"11","11"
20,2022,2020-10-01,21,108037278,1,"11","11"
20,2022,2020-10-01,16,108050218,1,"11","11"
20,2022,2020-10-01,13,108051615,1,"11","11"
20,2021,2020-10-01,14,108045528,1,"12","12"
20,2021,2020-10-01,14,108045528,1,"12","12"
20,2021,2020-10-01,24,108066255,0,"12","12"
20,2021,2020-10-01,19,108043768,1,"12","12"
20,2022,2020-10-01,16,108053380,1,"11","11"
20,2022,2020-10-01,20,108047351,1,"11","11"
20,2022,2020-10-01,13,108076841,1,"11","11"
20,2022,2020-10-01,18,108051664,1,"11","11"
20,2022,2020-10-01,19,108051560,1,"11","11"
20,2022,2020-10-01,17,108053058,1,"11","11"
20,2022,2020-10-01,19,108076846,0,"11","11"
20,2022,2020-10-01,16,108076830,0,"11","11"
20,2022,2020-10-01,11,108041167,1,"11","11"
20,2022,2020-10-01,18,108052920,1,"11","11"
20,2022,2020-10-01,18,108052540,1,"11","11"
20,2022,2020-10-01,18,108052915,1,"11","11"
20,2022,2020-10-01,23,108060674,1,"11","11"
20,2022,2020-10-01,17,108053059,1,"11","11"
20,2021,2020-10-01,7,108045519,1,"12","12"
